# x_m, y_m, w_tr_right_m, w_tr_left_m
22.5949,53.6921,7.1,7.1
22.5836,53.5928,7.1,7.1
22.5725,53.4934,7.1,7.1
22.5615,53.3940,7.0,7.0
22.5506,53.2947,7.1,7.1
22.5398,53.1953,7.1,7.1
22.5292,53.0958,7.1,7.1
22.5186,52.9964,7.1,7.1
22.5084,52.8970,7.1,7.1
22.4977,52.7975,7.1,7.1
22.4865,52.6982,7.1,7.1
22.4756,52.5988,7.1,7.1
22.4647,52.4994,7.1,7.1
22.4540,52.4000,7.1,7.1
22.4435,52.3006,7.0,7.0
22.4331,52.2012,7.1,7.1
22.4227,52.1017,7.1,7.1
22.4127,52.0022,7.1,7.1
22.4038,51.9027,7.1,7.1
22.3951,51.8031,7.1,7.1
22.3856,51.7035,7.1,7.1
22.3759,51.6040,7.1,7.1
22.3665,51.5045,7.1,7.1
22.3571,51.4049,7.1,7.1
22.3478,51.3054,7.1,7.1
22.3387,51.2058,7.1,7.1
22.3297,51.1062,7.1,7.1
22.3208,51.0067,7.1,7.1
22.3122,50.9070,7.1,7.1
22.3035,50.8074,7.1,7.1
22.2940,50.7079,7.1,7.1
22.2848,50.6084,7.1,7.1
22.2757,50.5088,7.1,7.1
22.2667,50.4092,7.1,7.1
22.2579,50.3096,7.1,7.1
22.2492,50.2100,7.1,7.1
22.2407,50.1104,7.1,7.1
22.2324,50.0108,7.1,7.1
22.2233,49.9112,7.1,7.1
22.2142,49.8116,7.1,7.1
22.2053,49.7120,7.1,7.1
22.1966,49.6124,7.1,7.1
22.1880,49.5128,7.1,7.1
22.1796,49.4132,7.1,7.1
22.1713,49.3136,7.1,7.1
22.1633,49.2139,7.1,7.1
22.1553,49.1142,7.1,7.1
22.1476,49.0146,7.1,7.1
22.1396,48.9149,7.1,7.1
22.1310,48.8153,7.1,7.1
22.1225,48.7157,7.1,7.1
22.1143,48.6160,7.1,7.1
22.1062,48.5164,7.1,7.1
22.0984,48.4167,7.1,7.1
22.0904,48.3170,7.1,7.1
22.0817,48.2174,7.1,7.1
22.0733,48.1178,7.1,7.1
22.0651,48.0182,7.1,7.1
22.0570,47.9185,7.1,7.1
22.0490,47.8188,7.1,7.1
22.0413,47.7192,7.1,7.1
22.0337,47.6195,7.1,7.1
22.0262,47.5198,7.1,7.1
22.0190,47.4200,7.1,7.1
22.0120,47.3203,7.1,7.1
22.0053,47.2206,7.1,7.1
21.9981,47.1208,7.1,7.1
21.9905,47.0211,7.1,7.1
21.9833,46.9214,7.1,7.1
21.9761,46.8217,7.1,7.1
21.9692,46.7220,7.1,7.1
21.9624,46.6222,7.1,7.1
21.9559,46.5224,7.1,7.1
21.9491,46.4227,7.1,7.1
21.9419,46.3230,7.1,7.1
21.9350,46.2232,7.1,7.1
21.9284,46.1235,7.1,7.1
21.9220,46.0237,7.1,7.1
21.9160,45.9239,7.1,7.1
21.9097,45.8241,7.1,7.1
21.9030,45.7243,7.1,7.1
21.8967,45.6246,7.1,7.1
21.8906,45.5248,7.1,7.1
21.8847,45.4249,7.1,7.1
21.8791,45.3251,7.1,7.1
21.8737,45.2253,7.0,7.0
21.8686,45.1254,7.0,7.0
21.8637,45.0256,7.0,7.0
21.8591,44.9257,7.0,7.0
21.8547,44.8258,7.0,7.0
21.8507,44.7259,7.1,7.1
21.8464,44.6260,7.1,7.1
21.8412,44.5262,7.1,7.1
21.8358,44.4263,7.1,7.1
21.8308,44.3265,7.1,7.1
21.8261,44.2266,7.1,7.1
21.8217,44.1267,7.1,7.1
21.8175,44.0268,7.1,7.1
21.8138,43.9269,7.1,7.1
21.8098,43.8270,7.1,7.1
21.8054,43.7271,7.1,7.1
21.8014,43.6272,7.1,7.1
21.7977,43.5273,7.1,7.1
21.7941,43.4274,7.1,7.1
21.7909,43.3275,7.1,7.1
21.7878,43.2275,7.0,7.0
21.7852,43.1276,7.0,7.0
21.7826,43.0276,7.0,7.0
21.7794,42.9277,7.0,7.0
21.7756,42.8278,7.0,7.0
21.7720,42.7279,7.0,7.0
21.7687,42.6280,7.0,7.0
21.7656,42.5280,7.0,7.0
21.7629,42.4281,7.0,7.0
21.7604,42.3281,7.0,7.0
21.7581,42.2282,7.0,7.0
21.7562,42.1282,7.0,7.0
21.7545,42.0282,7.0,7.0
21.7532,41.9283,7.0,7.0
21.7519,41.8283,7.0,7.0
21.7498,41.7283,7.0,7.0
21.7472,41.6284,7.0,7.0
21.7449,41.5284,7.0,7.0
21.7429,41.4285,7.0,7.0
21.7412,41.3285,7.0,7.0
21.7398,41.2285,7.0,7.0
21.7386,41.1286,7.0,7.0
21.7377,41.0286,7.0,7.0
21.7371,40.9286,7.0,7.0
21.7368,40.8286,7.0,7.0
21.7368,40.7286,7.0,7.0
21.7370,40.6287,7.0,7.0
21.7377,40.5287,7.0,7.0
21.7384,40.4287,7.0,7.0
21.7385,40.3287,7.0,7.0
21.7390,40.2287,7.0,7.0
21.7398,40.1288,7.0,7.0
21.7411,40.0288,7.0,7.0
21.7422,39.9288,7.0,7.0
21.7428,39.8288,7.0,7.0
21.7439,39.7289,7.0,7.0
21.7453,39.6289,7.0,7.0
21.7469,39.5289,7.0,7.0
21.7489,39.4290,7.0,7.0
21.7506,39.3290,7.0,7.0
21.7520,39.2290,7.0,7.0
21.7539,39.1291,7.0,7.0
21.7561,39.0291,7.0,7.0
21.7586,38.9291,7.0,7.0
21.7606,38.8292,7.0,7.0
21.7626,38.7292,7.0,7.0
21.7650,38.6293,7.0,7.0
21.7676,38.5293,7.0,7.0
21.7704,38.4294,7.0,7.0
21.7725,38.3294,7.0,7.0
21.7749,38.2295,7.0,7.0
21.7777,38.1295,7.0,7.0
21.7807,38.0296,7.0,7.0
21.7840,37.9297,7.0,7.0
21.7877,37.8297,7.0,7.0
21.7916,37.7298,7.0,7.0
21.7958,37.6300,7.0,7.0
21.8004,37.5301,7.0,7.0
21.8045,37.4302,7.0,7.0
21.8085,37.3303,7.0,7.0
21.8130,37.2304,7.0,7.0
21.8177,37.1305,7.0,7.0
21.8218,37.0306,7.0,7.0
21.8263,36.9307,7.0,7.0
21.8311,36.8309,7.0,7.0
21.8365,36.7310,7.0,7.0
21.8417,36.6312,7.0,7.0
21.8465,36.5313,7.0,7.0
21.8517,36.4315,7.0,7.0
21.8573,36.3317,6.8,6.8
21.8623,36.2318,6.8,6.8
21.8673,36.1320,6.8,6.8
21.8728,36.0321,6.8,6.8
21.8786,35.9323,6.8,6.8
21.8846,35.8325,6.8,6.8
21.8900,35.7327,6.8,6.8
21.8958,35.6329,6.8,6.8
21.9020,35.5331,6.8,6.8
21.9085,35.4333,6.8,6.8
21.9153,35.3335,6.8,6.8
21.9225,35.2338,6.8,6.8
21.9300,35.1341,6.8,6.8
21.9369,35.0344,6.8,6.8
21.9440,34.9347,6.8,6.8
21.9518,34.8350,6.8,6.8
21.9593,34.7353,6.8,6.8
21.9666,34.6356,6.8,6.8
21.9743,34.5359,6.7,6.7
21.9825,34.4362,6.7,6.7
21.9910,34.3366,6.7,6.7
22.0001,34.2370,6.7,6.7
22.0084,34.1374,6.7,6.7
22.0159,34.0377,6.7,6.7
22.0238,33.9380,6.7,6.7
22.0312,33.8383,6.7,6.7
22.0389,33.7387,6.7,6.7
22.0471,33.6390,6.8,6.8
22.0557,33.5394,6.8,6.8
22.0642,33.4398,6.8,6.8
22.0724,33.3401,6.8,6.8
22.0811,33.2405,6.8,6.8
22.0901,33.1410,6.8,6.8
22.0997,33.0414,6.7,6.7
22.1089,32.9419,6.7,6.7
22.1181,32.8423,6.7,6.7
22.1275,32.7428,6.7,6.7
22.1365,32.6432,6.7,6.7
22.1460,32.5437,6.7,6.7
22.1561,32.4442,6.7,6.7
22.1657,32.3447,6.7,6.7
22.1754,32.2452,6.7,6.7
22.1858,32.1457,6.8,6.8
22.1964,32.0463,6.8,6.8
22.2065,31.9468,6.8,6.8
22.2172,31.8474,6.7,6.7
22.2275,31.7480,6.7,6.7
22.2381,31.6486,6.7,6.7
22.2488,31.5492,6.7,6.7
22.2593,31.4497,6.7,6.7
22.2704,31.3504,6.7,6.7
22.2811,31.2510,6.7,6.7
22.2911,31.1515,6.7,6.7
22.3024,31.0521,6.8,6.8
22.3140,30.9528,6.8,6.8
22.3255,30.8535,6.8,6.8
22.3375,30.7543,6.7,6.7
22.3491,30.6550,6.7,6.7
22.3614,30.5557,6.7,6.7
22.3734,30.4565,6.7,6.7
22.3858,30.3573,6.7,6.7
22.3984,30.2581,6.8,6.8
22.4108,30.1589,6.8,6.8
22.4239,30.0598,6.8,6.8
22.4366,29.9606,6.8,6.8
22.4500,29.8615,6.7,6.7
22.4634,29.7624,6.7,6.7
22.4765,29.6633,6.7,6.7
22.4895,29.5642,6.7,6.7
22.5023,29.4650,6.7,6.7
22.5159,29.3660,6.8,6.8
22.5295,29.2669,6.8,6.8
22.5427,29.1678,6.8,6.8
22.5564,29.0688,6.8,6.8
22.5707,28.9698,6.7,6.7
22.5847,28.8708,6.7,6.7
22.5986,28.7718,6.7,6.7
22.6132,28.6729,6.8,6.8
22.6288,28.5741,6.8,6.8
22.6446,28.4754,6.8,6.8
22.6604,28.3767,6.8,6.8
22.6762,28.2780,6.9,6.9
22.6921,28.1792,6.7,6.7
22.7081,28.0806,6.8,6.8
22.7241,27.9819,6.8,6.8
22.7408,27.8833,6.8,6.8
22.7582,27.7848,6.8,6.8
22.7756,27.6864,6.9,6.9
22.7932,27.5879,6.9,6.9
22.8109,27.4895,6.8,6.8
22.8288,27.3912,6.8,6.8
22.8469,27.2929,6.8,6.8
22.8652,27.1946,6.8,6.8
22.8835,27.0963,6.9,6.9
22.9022,26.9980,6.9,6.9
